<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBGB,D,20191119,000000,1156.8000000,1157.4000000,1150.2000000,1157.0000000,2066
SBGB,D,20191120,000000,1158.8000000,1158.8000000,1154.2000000,1158.0000000,3568
SBGB,D,20191121,000000,1156.4000000,1159.4000000,1156.0000000,1159.4000000,1233
SBGB,D,20191122,000000,1155.0000000,1161.8000000,1152.6000000,1159.8000000,5117
SBGB,D,20191125,000000,1160.0000000,1161.4000000,1158.4000000,1159.2000000,193319
SBGB,D,20191126,000000,1159.4000000,1159.6000000,1156.0000000,1158.8000000,3174
SBGB,D,20191127,000000,1157.4000000,1160.2000000,1156.4000000,1159.4000000,3442
SBGB,D,20191128,000000,1160.8000000,1160.8000000,1156.8000000,1158.0000000,75022
SBGB,D,20191129,000000,1156.2000000,1160.8000000,1156.0000000,1157.6000000,581
SBGB,D,20191202,000000,1156.8000000,1159.0000000,1154.4000000,1156.6000000,2371
SBGB,D,20191203,000000,1157.0000000,1158.2000000,1155.2000000,1155.4000000,5555
SBGB,D,20191204,000000,1158.2000000,1158.2000000,1155.8000000,1156.4000000,909
SBGB,D,20191205,000000,1157.0000000,1159.8000000,1156.4000000,1156.6000000,5164
SBGB,D,20191206,000000,1158.8000000,1160.0000000,1157.2000000,1157.2000000,201435
SBGB,D,20191209,000000,1160.2000000,1160.6000000,1158.4000000,1160.0000000,2897
SBGB,D,20191210,000000,1162.6000000,1162.6000000,1158.0000000,1158.2000000,5225
SBGB,D,20191211,000000,1162.4000000,1162.4000000,1159.2000000,1160.2000000,186541
SBGB,D,20191212,000000,1165.0000000,1165.0000000,1158.4000000,1162.2000000,6799
SBGB,D,20191213,000000,1165.0000000,1170.0000000,1160.0000000,1165.0000000,5949
SBGB,D,20191216,000000,1163.4000000,1165.4000000,1161.4000000,1163.0000000,4991
SBGB,D,20191217,000000,1165.0000000,1166.4000000,1162.6000000,1165.0000000,2548
SBGB,D,20191218,000000,1165.2000000,1166.6000000,1165.0000000,1166.2000000,153084
SBGB,D,20191219,000000,1162.4000000,1166.8000000,1161.4000000,1165.2000000,7179
SBGB,D,20191220,000000,1165.6000000,1166.2000000,1161.2000000,1163.0000000,1665
SBGB,D,20191223,000000,1162.4000000,1166.4000000,1162.2000000,1165.6000000,3177
SBGB,D,20191224,000000,1165.0000000,1167.0000000,1163.0000000,1166.8000000,9828
SBGB,D,20191225,000000,1167.2000000,1168.4000000,1162.8000000,1168.0000000,131081
SBGB,D,20191226,000000,1169.2000000,1169.4000000,1168.0000000,1169.4000000,4576
SBGB,D,20191227,000000,1167.8000000,1170.8000000,1165.6000000,1169.2000000,10624
SBGB,D,20191230,000000,1173.6000000,1174.6000000,1163.6000000,1169.4000000,4129
SBGB,D,20200103,000000,1173.4000000,1173.8000000,1169.4000000,1173.4000000,1940
